comune,codice_istat,provincia,positivi,positivi_per_1000_abitanti
Mirabello Monferrato,006094,Alessandria,5,3.82
Moasca,005063,Asti,0,0.0
Moiola,004123,Cuneo,0,0.0
Molare,006095,Alessandria,11,5.33
Molino Dei Torti,006096,Alessandria,4,6.81
Mollia,002078,Vercelli,0,0.0
Mombaldone,005064,Asti,1,5.0
Mombarcaro,004124,Cuneo,0,0.0
Mombaruzzo,005065,Asti,1,0.94
Mombasiglio,004125,Cuneo,2,3.28
Mombello Di Torino,001153,Torino,6,15.38
Mombello Monferrato,006097,Alessandria,7,6.93
Mombercelli,005066,Asti,7,3.26
Momo,003100,Novara,15,6.01
Mompantero,001154,Torino,1,1.54
Momperone,006098,Alessandria,0,0.0
Monale,005067,Asti,3,2.99
Monastero Bormida,005068,Asti,0,0.0
Monastero Di Lanzo,001155,Torino,4,11.56
Monastero Di Vasco,004126,Cuneo,5,3.87
Monasterolo Casotto,004127,Cuneo,0,0.0
Monasterolo Di Savigliano,004128,Cuneo,5,3.62
Moncalieri,001156,Torino,563,9.79
Moncalvo,005069,Asti,21,7.34
Moncenisio,001157,Torino,1,28.57
Moncestino,006099,Alessandria,3,15.31
Monchiero,004129,Cuneo,2,3.46
Moncrivello,002079,Vercelli,11,7.89
Moncucco Torinese,005070,Asti,8,8.99
Mondovi',004130,Cuneo,197,8.79
Monesiglio,004131,Cuneo,4,6.44
Monforte D'Alba,004132,Cuneo,8,4.01
Mongardino,005071,Asti,2,2.24
Mongiardino Ligure,006100,Alessandria,2,12.82
Mongrando,096035,Biella,18,4.74
Monleale,006101,Alessandria,4,7.07
Monta',004133,Cuneo,21,4.47
Montabone,005072,Asti,0,0.0
Montacuto,006102,Alessandria,1,3.97
Montafia,005073,Asti,1,1.06
Montaldeo,006103,Alessandria,2,8.03
Montaldo Bormida,006104,Alessandria,2,3.14
